time,text,url,retweet_count,favorite_count
Wed Sep 29 16:20:19 +0000 2021,Chhattisgarh CM aspirant TS Singh Deo hammers Kapil Sibal for questioning Sonia Gandhi https://t.co/wTIHQLwFy6,https://www.republicworld.com/india-news/politics/chhattisgarh-cm-aspirant-ts-singh-deo-hammers-kapil-sibal-for-questioning-sonia-gandhi.html,3,30
Wed Sep 29 16:19:16 +0000 2021,#CaptainGamechanger | It is not really easy to float a new party. Captain Amarinder is very much in the Congress pa… https://t.co/bxQ7DdEuUv,https://twitter.com/i/web/status/1443249024425811968,5,35
Wed Sep 29 16:16:56 +0000 2021,#CaptainGamechanger | Everyone who is joining BJP has also disliked the party and fallen in love with it overnight;… https://t.co/zb3fK6blSn,https://twitter.com/i/web/status/1443248436325720067,7,41
Wed Sep 29 16:16:53 +0000 2021,Delhi restaurant that allegedly turned away saree-clad woman shut for operating unlicensed https://t.co/LqVLB2DRb9,https://www.republicworld.com/india-news/city-news/delhi-restaurant-that-allegedly-turned-away-saree-clad-woman-shut-for-operating-unlicensed.html,323,1703
Wed Sep 29 16:12:04 +0000 2021,"#CaptainGamechanger | Navjot Sidhu and Rahul Gandhi are made for each other. Both are ungrateful: @Suhelseth, Manag… https://t.co/MoS5cyQPKJ",https://twitter.com/i/web/status/1443247212465569795,23,211
Wed Sep 29 16:09:41 +0000 2021,#CaptainGamechanger | Akali Dal senior leader Manjinder Singh Sirsa says Punjab can't be controlled by 'remote cont… https://t.co/Blhw9P0bl7,https://twitter.com/i/web/status/1443246611262443522,7,44
Wed Sep 29 16:08:05 +0000 2021,#CaptainGamechanger | It is not really easy to float a new party. Captain Amarinder is very much in the Congress pa… https://t.co/iOTYdUtUhs,https://twitter.com/i/web/status/1443246212530925580,1,37
Wed Sep 29 16:05:04 +0000 2021,#CaptainGamechanger | Everyone who is joining BJP has also disliked the party and fallen in love with it overnight;… https://t.co/IBO2GfdgPN,https://twitter.com/i/web/status/1443245452158124041,5,39
Wed Sep 29 16:05:00 +0000 2021,"Among newly displaced Afghans, 80 per cent are women and children: UNHCR https://t.co/63k5jDhxJC",https://www.republicworld.com/world-news/rest-of-the-world-news/among-newly-displaced-afghans-80-per-cent-are-women-and-children-unhcr.html,2,23
Wed Sep 29 16:04:04 +0000 2021,PM Modi-led Cabinet gives nod for continuation of PM Poshan Shakti Nirman for 5 years https://t.co/A1oS7damnN,https://www.republicworld.com/india-news/general-news/pm-modi-led-cabinet-gives-nod-for-continuation-of-pm-poshan-shakti-nirman-for-5-years.html,5,64
